,Unnamed: 0,Total_iterations,Intertwine_two,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Trim_one_terminal_cb,Grow_one_terminal_cb
0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1,1.0,1.0,0.11079682513430239,0.12119392326335927,0.11415688622632225,0.11574730016967737,0.1363959434653795,0.13435890642834245,0.11323096030039631,0.15411925501222043
2,2.0,2.0,0.10364237614237615,0.11969611076753935,0.11944358551501408,0.12254122861265719,0.13353449460592318,0.1277769188483474,0.10573988181131039,0.16762540369683224
3,3.0,3.0,0.09901458070475977,0.11775651128879562,0.11609946463174896,0.12459569549640089,0.134162142694427,0.12677585441828526,0.10543808897037328,0.17615766179520922
4,4.0,4.0,0.09634740382705657,0.11958631890807693,0.11525564957740757,0.12133778381743658,0.14194340626516422,0.12841936685127137,0.09995428427604229,0.17715578647754443
5,5.0,5.0,0.09593448341413614,0.11844616276792075,0.11387822593194266,0.11687557935523207,0.13938318870494668,0.13525152095146667,0.09666523414488687,0.18356560472946792
6,6.0,6.0,0.09518550563193419,0.12119536548107974,0.10549562210276493,0.11171365341008196,0.143777145473574,0.13383234820734818,0.09297974842617698,0.1958206112670398
7,7.0,7.0,0.0925013610527558,0.12510960453198167,0.10264816346759947,0.11115360205793799,0.1373434076367672,0.1423036972180392,0.08638617993757469,0.2025539840973437
8,8.0,8.0,0.08902105908408424,0.13025289020036912,0.10256706334437421,0.11143592635189267,0.12843311683647812,0.145790554761143,0.08350638856941371,0.20899300085224456
9,9.0,9.0,0.08542941263529495,0.13414724436783257,0.10384391479979713,0.11074110529992881,0.12116976433152903,0.14763747146100084,0.08262841733429965,0.21440266977031683
10,10.0,10.0,0.0831892165568636,0.1329578221342927,0.10440043126807831,0.10943209350562291,0.1241955756661639,0.14545707669237076,0.08056983648160117,0.21979794769500655
11,11.0,11.0,0.08459149884452483,0.13345829569981904,0.10192551769135672,0.11238308595902732,0.12111945179064901,0.14921723447346366,0.07769699378315896,0.21960792175800023
12,12.0,12.0,0.08915431656297661,0.140238947565457,0.10274834236288474,0.10444079891740851,0.12095999538015804,0.14375113066267212,0.07559590246364811,0.22311056608479474
13,13.0,13.0,0.08693096852410828,0.13728922190237824,0.10482391670653013,0.10311730774626583,0.12223978836378063,0.14518499996213569,0.07127356480644037,0.2291402319883606
14,14.0,14.0,0.08452110367848495,0.13346629498171353,0.11006486936245077,0.10191501778978403,0.13008712248366783,0.14268592444304362,0.06906358733861569,0.2281960799222394
15,15.0,15.0,0.08580694091080932,0.13647468461647871,0.10796957708449596,0.09649016039743441,0.1272812553774911,0.14265805522023525,0.06758831468433588,0.23573101170871916
16,16.0,16.0,0.08754393604229331,0.1326802032588004,0.11106492390327902,0.09500013571400892,0.12790522954301295,0.13720178408664438,0.06624544177078155,0.24235834568117917
17,17.0,17.0,0.08624473488045663,0.13549254977072636,0.11326214280696247,0.09365666269363511,0.12852580641651498,0.135457074940953,0.06502137111489974,0.24233965737585145
18,18.0,18.0,0.09023733807169214,0.13789566839693593,0.115300000419689,0.09210827525093686,0.1257799248005085,0.13365943503790675,0.062003689911573415,0.24301566811075712
19,19.0,19.0,0.08448714609143587,0.1365763667460103,0.11649337519954547,0.09093014676516695,0.12461559406818105,0.1360179272899379,0.061460705457838445,0.2494187383818837
20,20.0,20.0,0.08238101004607143,0.13239198194080032,0.12146564021053399,0.09245798095294061,0.12488427131868256,0.1322705900262208,0.06007366513156971,0.25407486037318033
21,21.0,21.0,0.08119099910289053,0.12781421806235477,0.11906776909516716,0.09690588854610566,0.12378069472469466,0.12942022036916506,0.060166515226259425,0.2616536948733625
22,22.0,22.0,0.07989524881303665,0.12436612417685117,0.11643153930877782,0.09504492839869094,0.12649517147367192,0.1306677000114754,0.05914854271418331,0.2679507451033125
23,23.0,23.0,0.0785780476431011,0.11928029940883986,0.11730857810662663,0.09272281980309849,0.13154181248512248,0.13475811907013197,0.05698955570710589,0.2688207677759733
24,24.0,24.0,0.07432032408584197,0.11808100258311285,0.11176383793979737,0.09162867736098734,0.12705120646575213,0.1355698356274065,0.05871212459736221,0.2828729913397394
25,25.0,25.0,0.07403038785660154,0.11417460253948226,0.11146707538996184,0.09153387498656788,0.12355218272565957,0.13233058895907776,0.055475449112924645,0.2974358384297242
26,26.0,26.0,0.0727880581422332,0.11228374951430989,0.11094882613065854,0.09324334856939062,0.12470091489093595,0.13122202067163252,0.05436650645341809,0.30044657562742094
27,27.0,27.0,0.07232478142101342,0.10893202955432185,0.10979319189035697,0.08779509507621523,0.12641520258980984,0.1356833705011039,0.055964367832444496,0.303091961134734
28,28.0,28.0,0.07123547881976312,0.10728799410833073,0.11319076714779779,0.08743239085465018,0.12437477223326117,0.13564802665400066,0.05507454849941251,0.30575602168278365
29,29.0,29.0,0.07042876823700595,0.10820949814509254,0.1098763736161812,0.08864055639226784,0.12306292105840687,0.13921060406643448,0.052679145074339316,0.30789213341027144
30,30.0,30.0,0.07120344765976358,0.10764883145000702,0.11271224609884586,0.09030311314255937,0.11707489599953647,0.14205180602080592,0.05262779239480151,0.3063778672336801
31,31.0,31.0,0.07307837111604495,0.108591806326487,0.11495617291091349,0.0861636265080014,0.11751639273366705,0.14090258754389356,0.05300154222295328,0.30578950063803917
32,32.0,32.0,0.07454050745132108,0.10908550924037927,0.11324587601337956,0.08379024387378142,0.11874134959211362,0.1374132621434431,0.05344369228246401,0.3097395594031178
