Generations,Unnamed: 0.1,Intertwine_two,Add_vertex,Delete_vertex,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Trim_one_terminal_cb,Grow_one_terminal_cb
0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,1.0,0.1013888727653206,0.0962352311851374,0.1003867757913961,0.0985105091168141,0.0984986548521098,0.101204814137457,0.1017402574185149,0.1008032316766634,0.1017938017466207,0.0994378513099655
2,2.0,0.1003800196795147,0.0934344450840012,0.1001707639444007,0.0995924103965558,0.0983641907019376,0.1034822030274518,0.1022121007031799,0.1002948225334296,0.1035340755037818,0.0985349684257463
3,3.0,0.0994076079186018,0.091880366456901,0.097330092796694,0.1015337443476992,0.0989934630917776,0.1037980741974356,0.1022979445332024,0.1014137798496229,0.1052585605262001,0.0980863662818649
4,4.0,0.0998442468514427,0.0891189106111037,0.0971237061922328,0.101264961050517,0.0981033966585637,0.1031622911794761,0.1047079810168282,0.1010644377238694,0.1067258333389722,0.0988842353769937
5,5.0,0.1003943907677262,0.0853974121869851,0.0972022300661765,0.102103192845628,0.0962261844255299,0.1063570133570979,0.105726903364558,0.1022840249143276,0.1082246014634708,0.0960840466084995
6,6.0,0.1005719785248612,0.0832106348025208,0.0967650669886897,0.1038978479810223,0.0941477194905118,0.1071702237976868,0.1064974013149087,0.102957718276442,0.1076669520958893,0.0971144567274669
7,7.0,0.1017100722961888,0.0807768203106399,0.0944706605033482,0.1043044611483176,0.0947223456053928,0.1051883281618138,0.1106528325640963,0.1039527615713659,0.1069733384751566,0.0972483793636795
8,8.0,0.1019735195801591,0.0801228422841925,0.0937946782912522,0.1028966828349035,0.0958252358753813,0.1065309518845993,0.1108931802410475,0.1041789304968622,0.104734970231292,0.0990490082803098
9,9.0,0.1029137754982804,0.0768062384802139,0.0913353978682528,0.1054447068366354,0.0969079633697864,0.1097222684868322,0.1095981948874443,0.1049711560763431,0.1053504743365451,0.0969498241596658
10,10.0,0.1018871836728767,0.0744993275452535,0.0887733202876322,0.1058420011542215,0.0987678033494488,0.1097330434823306,0.1105658069173515,0.1047950763616577,0.1033740587908639,0.101762378438363
11,11.0,0.1018460737467178,0.0730605970261577,0.0885696835628391,0.1061205827104225,0.0987201850234732,0.1109940926067198,0.1126985000173103,0.1049741133599573,0.1032171539770894,0.0997990179693122
12,12.0,0.1015773378598488,0.0713270596965918,0.0873641674826971,0.1064562196281782,0.1002129719753655,0.1116989227252658,0.1113205225244464,0.1055776143042298,0.1022054627582931,0.1022597210450828
13,13.0,0.0995598784751148,0.0716823896689705,0.0883526515600265,0.1046257992479867,0.0998025247706505,0.1136177600837946,0.1125885205509558,0.1062160635836589,0.1003440046288192,0.1032104074300218
14,14.0,0.1024602107586658,0.0676431962008811,0.0859595476791794,0.1000717892924501,0.1022431684983366,0.1138923339831893,0.1105697660014152,0.108264941903019,0.104159263488227,0.1047357821946359
15,15.0,0.1007382636585556,0.0651786865005874,0.0813162510029407,0.0990237417074702,0.1060529527879668,0.1178713545877249,0.1124711217673541,0.10679761476959,0.1043490705825376,0.106200942635272
16,16.0,0.1008533400369105,0.0661426429455671,0.0786387931834344,0.0974758944425685,0.1060897131775471,0.1181707768371636,0.1161406036182101,0.1047311164066162,0.1040155693334665,0.1077415500185153
17,17.0,0.0985000938027333,0.0664916354627867,0.0739416254691197,0.0967188586906944,0.1088105505092147,0.1184085940362365,0.1236211120593558,0.1019580232018703,0.1021185465512073,0.1094309602167806
18,18.0,0.0943764732479612,0.068414059564828,0.0755009119518792,0.0957871329873752,0.1101421620638458,0.1179626936427986,0.1244251744504988,0.1023756092196215,0.1008562726110059,0.1101595102601851
19,19.0,0.0911310182810381,0.0733440016842795,0.0725134138251512,0.0948579969471209,0.1088039512690334,0.1212123566514986,0.1252216940980894,0.1047816629484131,0.1006302444195914,0.1075036598757837
20,20.0,0.0906961109087421,0.0718551952193815,0.0689029268682293,0.0956464983794177,0.1095728967709836,0.1217255420831325,0.1265113887874941,0.1061993262539637,0.1009209450329909,0.107969169695664
21,21.0,0.0943281815954027,0.0709526516974943,0.0634531268416623,0.0972499644899092,0.1131283749944276,0.1199779646735836,0.1273114035740545,0.1060788911013919,0.100258178424466,0.1072612626076073
22,22.0,0.0912933577045111,0.074578961263527,0.0633137555006158,0.0962726017677488,0.1140284057806248,0.1185833567147415,0.1253870835215105,0.1058286927915905,0.1006894983824878,0.1100242865726415
23,23.0,0.0882192378718356,0.0736989853371605,0.0656484184462184,0.1003795456349753,0.1152430075759437,0.1167461689374171,0.1239356749409884,0.1068703879881911,0.0996688825874095,0.1095896906798598
24,24.0,0.0855937607061463,0.0736443896273475,0.0637970521144153,0.1032463238193247,0.1167500037736752,0.1151480132031353,0.1225371800070792,0.1059822903670849,0.1007744881772536,0.1125264982045373
25,25.0,0.0828577258027585,0.0734362054660627,0.0654245496483057,0.1054995251805308,0.116724867295279,0.1127277607312143,0.1180806475312408,0.1084846556332776,0.1003727215257708,0.1163913411855591
26,26.0,0.08129516066179,0.0765135813369256,0.0647104356050369,0.1062245183449478,0.1159911042130608,0.1119173642503414,0.1174241177834774,0.1078261400962618,0.100425215228861,0.1176723624792965
27,27.0,0.0819465519934496,0.0764951312253425,0.0651790643532541,0.1056662168112483,0.1157631002460346,0.1108999987827464,0.1174239749976058,0.1043913640174891,0.1055050844218823,0.1167295131509463
28,28.0,0.0786345053065814,0.0777840851054397,0.0638970191072444,0.1043673576478703,0.1156233222116021,0.1108815490869111,0.1199666079542706,0.1078229377615484,0.1056238694180639,0.1153987464004673
29,29.0,0.077589398598433,0.0806285714580533,0.0638035227866227,0.1009437337912703,0.1201225245551933,0.1115935603347951,0.1180479581978967,0.104327589439209,0.1047256577793908,0.1182174830591348
30,30.0,0.0786995251409951,0.0831884838987545,0.0656662918508585,0.0978329883988972,0.1189213117573477,0.1110346541325658,0.1144464028965745,0.104388620750226,0.1055244936304031,0.1202972275433768
31,31.0,0.0786557226970383,0.0844891651318569,0.0670781780342994,0.0982014400039703,0.1174211496851672,0.1119519053778226,0.1106075488593039,0.1039637714690011,0.1076619488825844,0.1199691698589552
32,32.0,0.0767705976022502,0.0881294740831393,0.0674461383970791,0.0972228169204351,0.1187151504018768,0.1100646692688704,0.1117506593186155,0.1039241458402059,0.1069610663893454,0.1190152817781815
