,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:02:04.621848,0.9512572533849131
1,Run_10,0 days 00:01:18.094589,0.9583494519664733
2,Run_11,0 days 00:01:58.623787,0.9538362346872986
3,Run_12,0 days 00:02:08.276683,0.9650548033526757
4,Run_13,0 days 00:02:00.757706,0.9561573178594454
5,Run_14,0 days 00:05:43.893798,0.9597678916827853
6,Run_15,0 days 00:03:32.193091,0.958220502901354
7,Run_16,0 days 00:01:35.101859,0.9564152159896843
8,Run_17,0 days 00:05:16.117019,0.9566731141199227
9,Run_18,0 days 00:04:00.392055,0.9544809800128948
10,Run_19,0 days 00:01:16.405821,0.9520309477756286
11,Run_2,0 days 00:01:21.593817,0.9638942617666022
12,Run_20,0 days 00:09:09.366330,0.9463571889103803
13,Run_3,0 days 00:03:42.641910,0.9595099935525468
14,Run_4,0 days 00:01:36.500643,0.950870406189555
15,Run_5,0 days 00:01:53.792901,0.9558994197292069
16,Run_6,0 days 00:02:11.848588,0.95538362346873
17,Run_7,0 days 00:01:13.296703,0.9565441650548034
18,Run_8,0 days 00:07:38.627956,0.9591231463571891
19,Run_9,0 days 00:04:32.706543,0.9551257253384915
20,Average,0 days 00:03:12.742682350,0.9562475822050291
