,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.9244358478401032,211,8,15936
1,Run_2,0.9156673114119922,208,2,13569
2,Run_3,0.9275306254029658,228,23,21433
3,Run_4,0.9370728562217924,218,8,19574
4,Run_5,0.935009671179884,231,20,20511
5,Run_6,0.9219858156028368,214,7,18887
6,Run_7,0.9284332688588008,218,0,13374
7,Run_8,0.939136041263701,219,12,18589
8,Run_9,0.9209542230818826,204,3,14011
9,Run_10,0.9179883945841392,205,14,13199
10,Run_11,0.9270148291424888,213,5,13821
11,Run_12,0.9310122501611864,207,3,11639
12,Run_13,0.9362991618310768,218,8,18821
13,Run_14,0.939651837524178,215,3,17063
14,Run_15,0.921083172147002,204,0,12041
15,Run_16,0.9351386202450034,217,6,17072
16,Run_17,0.9377176015473888,213,10,16145
17,Run_18,0.9462282398452612,236,19,27121
18,Run_19,0.9359123146357188,222,0,16092
19,Run_20,0.9342359767891684,225,1,16283
20,Run_21,0.9417150225660864,216,4,15643
21,Run_22,0.9208252740167634,212,17,14869
22,Run_23,0.9185041908446164,200,0,12719
23,Run_24,0.933591231463572,216,13,16357
24,Run_25,0.9347517730496452,218,12,15810
25,Run_26,0.9092198581560282,209,0,11509
26,Run_27,0.9328175370728562,220,13,16782
27,Run_28,0.9393939393939394,221,17,15996
28,Run_29,0.9270148291424888,213,18,18436
29,Run_30,0.9397807865892972,213,9,17211
