,Unnamed: 0,Generation,HV,APD,mean_f_1,mean_f_2
0,0.0,0.0,0.9048355899419726,0.0,11.523885718891037,0.37532428895308084
1,1.0,1.0,0.9076982591876208,0.0,11.455281914893614,0.3589384222689605
2,2.0,2.0,0.9091360412637007,0.0,11.356328255963891,0.34464357658061645
3,3.0,3.0,0.9121663442940038,0.0,11.298132333978076,0.331447178767151
4,4.0,4.0,0.9136879432624114,0.0,11.244054480980012,0.31848073177938263
5,5.0,5.0,0.9160025789813024,0.0,11.244843246292714,0.30241614373437137
6,6.0,6.0,0.9180657640232109,0.0,11.210119116698904,0.2900514709122273
7,7.0,7.0,0.9190457769181174,0.0,11.177254593810444,0.2797615749583441
8,8.0,8.0,0.9210896196002579,0.0,11.148726466795615,0.27201139261688445
9,9.0,9.0,0.9218633139909738,0.0,11.141124838813667,0.26289488520745996
10,10.0,10.0,0.9223791102514509,0.0,11.14568850741457,0.2528232111616338
11,11.0,11.0,0.9233913604126371,0.0,11.127198500967118,0.24520503493545281
12,12.0,12.0,0.9257575757575758,0.0,11.115406431334623,0.23752867533515443
13,13.0,13.0,0.9281624758220504,0.0,11.079426579626041,0.2367806395185957
14,14.0,14.0,0.928916827852998,0.0,11.05703449387492,0.2330830225032598
15,15.0,15.0,0.9300709219858156,0.0,11.04686782720825,0.22870236730976573
16,16.0,16.0,0.9305931656995486,0.0,11.019345422308188,0.22875892832179354
17,17.0,17.0,0.9318955512572537,0.0,10.987173517085754,0.2279544831469921
18,18.0,18.0,0.932701482914249,0.0,10.95881616698904,0.22726865957995912
19,19.0,19.0,0.9333526756931013,0.0,10.931015473887808,0.22738946922106967
20,20.0,20.0,0.9340812379110253,0.0,10.930815602836875,0.22273254093111605
21,21.0,21.0,0.9342037395228886,0.0,10.913440038684723,0.22317500073312124
22,22.0,22.0,0.93464861379755,0.0,10.894282237266284,0.22337546616978857
23,23.0,23.0,0.9358800773694391,0.0,10.89223565441651,0.21998882163396508
24,24.0,24.0,0.9369761444229529,0.0,10.88578344616377,0.21621016274249572
25,25.0,25.0,0.9383687943262411,0.0,10.883068262411353,0.21388597527993963
26,26.0,26.0,0.9392907801418439,0.0,10.875490892972277,0.21207700889648567
27,27.0,27.0,0.9400128949065121,0.0,10.859596067053515,0.21180413488103184
28,28.0,28.0,0.9404384268214058,0.0,10.850451402321081,0.21135981858595723
29,29.0,29.0,0.9409735654416507,0.0,10.844780303030301,0.2108426876973236
30,30.0,30.0,0.941618310767247,0.0,10.835457607994842,0.21154391413792145
31,31.0,31.0,0.9419664732430689,0.0,10.831195116054158,0.21101480095779018
32,32.0,32.0,0.9423597678916827,0.0,10.82192367827208,0.20985217962523955
33,33.0,33.0,0.9427014829142489,0.0,10.807030947775626,0.21024629042231996
34,34.0,34.0,0.9430045132172793,0.0,10.794447614442293,0.20924255775672923
35,35.0,35.0,0.9435074145712445,0.0,10.783865490006445,0.21099708362524358
36,36.0,36.0,0.9436428110896197,0.0,10.757708575112824,0.2155149754734087
37,37.0,37.0,0.9446357188910381,0.0,10.747564232753057,0.2167171529843425
38,38.0,38.0,0.9450999355254673,0.0,10.734105496453896,0.21720761403580352
39,39.0,39.0,0.9454094132817538,0.0,10.704603642811085,0.22067202207937253
40,40.0,40.0,0.9456608639587364,0.0,10.696595502901344,0.22058556058458684
41,41.0,41.0,0.9462411347517732,0.0,10.68970446486137,0.2211820995261514
42,42.0,42.0,0.9463765312701483,0.0,10.670033768536424,0.22205688695308887
43,43.0,43.0,0.9466795615731785,0.0,10.661121615087033,0.22258498312821112
44,44.0,44.0,0.9467698259187619,0.0,10.64715989684074,0.22608861392691199
45,45.0,45.0,0.9471760154738877,0.0,10.632529980657635,0.22716285976228065
46,46.0,46.0,0.9476079948420372,0.0,10.624497179239194,0.22807718898041393
47,47.0,47.0,0.9482462927143779,0.0,10.61957156673113,0.22633757478208757
48,48.0,48.0,0.9484655061250805,0.0,10.616277885235316,0.2256238080496371
49,49.0,49.0,0.9495680206318504,0.0,10.618371776273362,0.2239781993213191
50,50.0,50.0,0.9496518375241779,0.0,10.62253191489361,0.22074419232073392
51,51.0,51.0,0.9498065764023209,0.0,10.628996050934877,0.21793160061113787
52,52.0,52.0,0.9499355254674404,0.0,10.629544003868471,0.21633382874187285
53,53.0,53.0,0.9501353965183752,0.0,10.622664410058025,0.21701342427562692
54,54.0,54.0,0.9504448742746616,0.0,10.619212443584784,0.21637208427457616
55,55.0,55.0,0.9506318504190846,0.0,10.624974613152805,0.21462748334464918
56,56.0,56.0,0.9508188265635074,0.0,10.61830996131528,0.21481956161683832
57,57.0,57.0,0.950863958736299,0.0,10.616533123791099,0.2172617701229484
58,58.0,58.0,0.9511927788523533,0.0,10.617207930367499,0.2159169508379371
59,59.0,59.0,0.9526047711154094,0.0,10.621891924564787,0.21340249738649653
60,60.0,60.0,0.9527337201805286,0.0,10.624306012250141,0.21230718319241332
61,61.0,61.0,0.9529206963249518,0.0,10.630980012894899,0.20892593261808895
62,62.0,62.0,0.9531205673758866,0.0,10.630903529980651,0.20727416784477054
63,63.0,63.0,0.9532753062540296,0.0,10.623735251450672,0.20821573426305157
64,64.0,64.0,0.9533913604126371,0.0,10.62680222437137,0.20802689573515298
65,65.0,65.0,0.9534945196647324,0.0,10.627150306254027,0.2091056003165069
66,66.0,66.0,0.9535074145712443,0.0,10.637495809155384,0.2079788098690618
67,67.0,67.0,0.9536170212765958,0.0,10.63871228239845,0.2101986011358342
68,68.0,68.0,0.9536428110896196,0.0,10.64369455190199,0.20975988283487443
